Armand Rebillon
E. Ernault
J. Allanic
P. Hemon
J. Loth
Jordan Edouard
Abbe G. Mollat
Abbe G. de Lesquen
M. E. Ernault
A. Le Braz
Leon Maitre
A. Dagnet
J.-M. Vidal
F. Duine
Theophile Janvrais
F. Le Lat
A. Rebillon
E. Robert
Leon Dubreuil
Abbe G. Mollat.
J. Nicolas
J. Le Gall
Henri See
Abbe L. Campion
Dr de Closmadeuc
Emile Souvestre
L'abbe L. Campion
Dr. de Closmadeuc
L. Dubreuil
J. Letaconnoux
F. Pean
A. Botrel
E. de Martonne
Letaconnoux J.
Charles Joret
Loth J.
E. Tanguy
R. Musset
Abbe Campion
H. Quilgars
Paul Delarue
Joseph Cuillandre
Ferdinand Lot
Pierre Le Roux
G. Mollat
Dom Malgorn
F. Bourdais
L. Gougaud
S. Canal
F. Robinard
Antoine Vacher
Allais Gustave
Andre Lesort
R. de Laigue
Henri Stein
Ferndinand Lot
F. Le Lay
G. Dottin
Lieutenant Binet
Henri see
Joseph Dunn
H. Gaillard
A. Vacher
P. Janvier
Louis Caillet
Frederic Le Guyader
Ch. de Febes
Charles Leconte
M. De Jacquelot
Rene Picaud
H. Binet
G. Guenin
Abbe L. Le Clerc
Franck Quessette
Delourmel
E. Danois
Rebillon A.
H. Kervarec
A. Le Nevanic
F. Quessette
Lieutenant H. Binet
F. Vallee
Luzel
Severin Canal
Maurice Duhamel
Abbe P. Janvier
G.-A. Picquenard
Gaston Esnault
Max Boirot
Beck L.
Abbe R. Feyel
Bleimor
E. Thibault
Yves Le Diberder
Gustave Macon
Capitaine Binet
E. Sevestre
J. de La Monneraye
Le Diberder Yves
Daniel Bernard
Jean Rutkowski
Le Lay
Maurice Bernard
Rene Durand
P. Delarue
H. Bourde de la Rogerie
Georges Saint-Mleux
Y. Le Diberder
E. Galmiche
J. Trevet
H. Baulig
Albert Mousset
R. Durand
Marc Citoleux
Abbe Bossard
B. Pocquet du Haut-Jusse
G. Duttin
Emile Gilles
Emile Ginot
Francois Vallee
L. Dugas
Jean Allenou
Paul Viard
C. Houlbert
Lucien Guillou
Jean Choleau
Louis de Laigue
Dottin G.
Durand Rene
E. Deprez
M. Le Guyader
F. Uzureau
Georges Collas
J. de La Martiniere
Ivonig Picard
de La Martiniere
H. du Halgouet
Em. Galmiche
R. Fawtier
Jean Le Roux
Ch. Chasse
Joseph Loth
C. Robert-Muller
Georges Dottin
E. Martin
J. Guillandre
Chanoine Perennes
Anatole Le Braz
R. Gasnier
J. Cuillandre
M. Bourde de la Rogerie
Ed. Galletier
Etienne Port
J. Le Roux
Andre Wilmart O. S. B.
L. Legras
Largilliere
Henri Busson
G. Martin
Leon Vignols
R. Lebegue
H. Perennes
Chanoine F. Uzureau
A. Mace
J. Ollivier
Louis Stouff
"Andre Wilmart, O. S. B."
B.-A. Pocquet du Haut-Jusse
Rene Musset
J. Tourneur-Aumont
Paul Jeulin
A. Le Moy
J. Descottes
Henri Perennes
E. Galletier
Mlle S. Castel
Abbe Raison
Arthur Le Moy
Lucien Wolff
P. d'Herouville
J. G.
Le Moy A.
L. Vignols
J. Lejeune
G. Kirn
F.-M. Luzel
Louvel
P. Le Roux
Ronan de Kermene
M. Dupouy
A. Burloud
M. Lami
Pierre Ricordel
H. Huerre
Julien Eymard
H.-F. Buffet
Xavier d'Haucourt
J. Baudry
Marcel Gautier
J. Mouchet
Dom G. Godu.
Rene Gandilhon
A. Marechal
Louis Chaumeil
D. Demidoff
Capitaine J. Marty
Andre Meynier
Pierre Poumier
Madame Le Herpeux
Abbe L. Raison
Hauser Henri
Lelievre Pierre
Chanoine L. Raison
Docteur Th.-M. Chotzen
B. A. Pocquet du Haut-Jusse
Abbe F. Falc'Hun
Charles Dedeyan
P. Flatres
Robert Latouche
Henri Waquet
Charles Chasse
Falc'Hun F.
Gilbert Mayer
R. Huon
F. Falc'Hun
Andre Loyen
R. P. Charles Chesneau
Etienne Catta
Lemarie P.
R. Niderst
Y. Le Hir
E. Drougard
Collas Georges
Rene Duthil
Yves Le Hir
Chanoine Francois Falc'Hun
Roger Sherman Loomis
Margaret Galway
Andre Guilcher
P. Quentel
C. Foulon
Raymond Jean
Leon Levillain
James B. Card
Pierre Flatres
Jean Lallinec
Serge Martin
Claude Grimal
Marie-Louise Vautrain
Claude Ory
Jean Andrieux
Jean Morel
Marie-Charlotte Saint-Girons
Pierre Dalido
G. Souillet
Guy Souillet
G. Bernier
G. S.
Le Roux Pierre
B. - A. Pocquet du Haut-Jusse
Paul Caillaud
J.-Ph. Levy
J.-M. Guilcher
H. Guilcher
Pierre Merlat
J.-B. Colbert de Beaulieu
P. Merlat
Fr. Merlet
Michel Philipponneau
Alfred le Quer
Andre Mussat
P.-R. Giot
Emile Guibourg
J.-L. Fleuriot
Madeleine Oliviero
Gabriel Normand
J. Vendryes
Henri-Francois Buffet
A. Guilcher
C. Corby
Pierre Trepos
Gildas Bernier
Louis Le Floc'h
Louis Richard
Ch. Foulon
Gilbert Le Guen
Yves Coppens
Rene Cloastre
Pierre Heliot
Michel Denis
Jean-Baptiste Colbert de Beaulieu
Raymonde Foreville
Annik Toberne
Genevieve Rodis-Lewis
Pierre-Roland Giot
